Customer ID,Customer Name,Segment,Region,total_orders,total_units,lifetime_value,lifetime_profit,first_purchase,last_purchase,margin_pct
AA-10315,Alex Avila,Consumer,Central,2,26,4780.55,724.95,2017-03-03,2018-06-29,15.2
AA-10315,Alex Avila,Consumer,East,1,10,29.5,17.65,2015-09-15,2015-09-15,59.8
AA-10315,Alex Avila,Consumer,West,2,9,753.51,77.76,2015-03-31,2016-10-04,10.3
AA-10375,Allen Armold,Consumer,Central,1,11,178.37,14.95,2016-02-03,2016-02-03,8.4
AA-10375,Allen Armold,Consumer,East,2,22,206.73,44.52,2018-09-07,2018-12-11,21.5
AA-10375,Allen Armold,Consumer,South,2,20,598.48,84.56,2016-11-13,2017-11-14,14.1
AA-10375,Allen Armold,Consumer,West,4,22,72.81,3.27,2015-04-21,2017-07-10,4.5
AA-10480,Andrew Allen,Consumer,Central,2,41,1747.5,140.85,2017-07-17,2017-08-26,8.1
AA-10480,Andrew Allen,Consumer,East,1,4,27.46,7.76,2015-05-04,2015-05-04,28.3
AA-10480,Andrew Allen,Consumer,South,1,3,15.55,7.02,2018-04-15,2018-04-15,45.1
AA-10645,Anna Andreadi,Consumer,Central,1,11,1971.46,84.37,2016-11-17,2016-11-17,4.3
AA-10645,Anna Andreadi,Consumer,East,2,23,1434.33,57.37,2015-06-22,2015-12-01,4.0
AA-10645,Anna Andreadi,Consumer,South,1,15,291.74,26.36,2017-09-04,2017-09-04,9.0
AA-10645,Anna Andreadi,Consumer,West,2,18,1389.4,-92.21,2017-07-04,2018-11-05,-6.6
AB-10015,Aaron Bergman,Consumer,Central,2,17,576.56,-6.0,2015-02-18,2017-11-10,-1.0
AB-10015,Aaron Bergman,Consumer,West,1,12,309.59,32.0,2015-03-07,2015-03-07,10.3
AB-10060,Adam Bellavance,Home Office,Central,1,9,240.15,35.99,2018-11-05,2018-11-05,15.0
AB-10060,Adam Bellavance,Home Office,East,3,33,4487.35,495.56,2017-08-29,2018-09-16,11.0
AB-10060,Adam Bellavance,Home Office,South,1,13,334.2,19.45,2017-03-13,2017-03-13,5.8
AB-10060,Adam Bellavance,Home Office,West,3,30,2693.92,-182.58,2016-09-18,2018-11-06,-6.8
AB-10105,Adrian Barton,Consumer,Central,5,55,12181.59,1444.32,2015-12-20,2018-08-03,11.9
AB-10105,Adrian Barton,Consumer,East,1,5,117.96,17.78,2017-02-02,2017-02-02,15.1
AB-10105,Adrian Barton,Consumer,South,1,4,843.84,6.07,2018-11-19,2018-11-19,0.7
AB-10105,Adrian Barton,Consumer,West,3,25,1330.18,101.85,2017-09-25,2018-09-19,7.7
AB-10150,Aimee Bixby,Consumer,Central,3,23,169.19,5.56,2016-09-10,2018-11-19,3.3
AB-10150,Aimee Bixby,Consumer,East,2,17,797.52,103.06,2015-03-05,2018-09-04,12.9
AB-10165,Alan Barnes,Consumer,Central,1,5,37.3,-7.92,2015-11-16,2015-11-16,-21.2
AB-10165,Alan Barnes,Consumer,East,1,12,118.32,24.74,2018-04-14,2018-04-14,20.9
AB-10165,Alan Barnes,Consumer,South,1,6,163.96,32.41,2018-09-15,2018-09-15,19.8
AB-10165,Alan Barnes,Consumer,West,5,43,794.26,75.28,2016-03-28,2018-12-05,9.5
AB-10255,Alejandro Ballentine,Home Office,Central,1,3,13.62,5.1,2017-06-26,2017-06-26,37.4
AB-10255,Alejandro Ballentine,Home Office,East,3,18,121.58,-3.28,2016-05-08,2018-06-02,-2.7
AB-10255,Alejandro Ballentine,Home Office,South,1,7,34.34,-4.59,2017-12-20,2017-12-20,-13.4
AB-10255,Alejandro Ballentine,Home Office,West,4,28,744.99,124.46,2015-07-22,2018-07-17,16.7
AB-10600,Ann Blume,Corporate,Central,1,6,14.48,2.11,2015-11-18,2015-11-18,14.6
AB-10600,Ann Blume,Corporate,South,1,2,17.09,-4.54,2016-11-30,2016-11-30,-26.6
AB-10600,Ann Blume,Corporate,West,2,20,1484.29,92.58,2016-02-18,2018-11-10,6.2
AC-10420,Alyssa Crouse,Corporate,Central,1,7,162.16,21.5,2018-05-12,2018-05-12,13.3
AC-10420,Alyssa Crouse,Corporate,East,1,4,57.58,1.55,2017-02-23,2017-02-23,2.7
AC-10420,Alyssa Crouse,Corporate,West,1,8,706.06,-72.8,2015-07-12,2015-07-12,-10.3
AC-10450,Amy Cox,Consumer,Central,1,3,1793.98,215.12,2018-10-03,2018-10-03,12.0
AC-10450,Amy Cox,Consumer,East,1,5,70.21,11.63,2016-11-08,2016-11-08,16.6
AC-10450,Amy Cox,Consumer,South,3,20,1701.36,210.29,2016-06-15,2018-12-19,12.4
AC-10450,Amy Cox,Consumer,West,2,6,1962.3,267.25,2015-10-31,2017-11-24,13.6
AC-10615,Ann Chong,Corporate,Central,1,7,12.77,3.68,2018-03-24,2018-03-24,28.8
AC-10615,Ann Chong,Corporate,East,3,55,2444.56,25.73,2016-09-15,2018-12-24,1.1
AC-10615,Ann Chong,Corporate,West,1,9,80.36,21.9,2018-02-23,2018-02-23,27.3
AC-10660,Anna Chung,Consumer,Central,2,4,179.61,32.75,2017-09-22,2018-03-23,18.2
AC-10660,Anna Chung,Consumer,East,1,10,191.34,13.8,2015-10-15,2015-10-15,7.2
AC-10660,Anna Chung,Consumer,West,2,2,286.37,45.34,2017-03-17,2017-06-27,15.8
AD-10180,Alan Dominguez,Home Office,Central,1,1,600.56,-10.03,2015-12-26,2015-12-26,-1.7
AD-10180,Alan Dominguez,Home Office,East,5,26,1152.98,41.4,2015-11-19,2018-12-01,3.6
AD-10180,Alan Dominguez,Home Office,West,2,21,4353.34,721.52,2018-01-22,2018-04-30,16.6
AF-10870,Art Ferguson,Consumer,Central,3,28,345.66,-3.75,2017-05-06,2018-11-19,-1.1
AF-10870,Art Ferguson,Consumer,East,1,29,1562.09,190.68,2017-05-22,2017-05-22,12.2
AF-10870,Art Ferguson,Consumer,South,1,10,47.33,-1.2,2018-11-18,2018-11-18,-2.5
AF-10870,Art Ferguson,Consumer,West,2,11,97.84,23.23,2016-12-06,2017-04-23,23.7
AF-10885,Art Foster,Consumer,East,3,26,489.9,-9.91,2015-05-10,2017-11-10,-2.0
AF-10885,Art Foster,Consumer,South,1,7,371.66,3.05,2016-10-13,2016-10-13,0.8
AG-10270,Alejandro Grove,Consumer,Central,1,38,2374.73,149.52,2017-09-13,2017-09-13,6.3
AG-10270,Alejandro Grove,Consumer,East,3,11,152.67,39.7,2015-07-23,2018-03-27,26.0
AG-10270,Alejandro Grove,Consumer,West,1,5,55.5,6.5,2015-05-13,2015-05-13,11.7
AG-10300,Aleksandra Gannaway,Corporate,East,1,4,81.94,-11.08,2017-12-05,2017-12-05,-13.5
AG-10300,Aleksandra Gannaway,Corporate,West,3,17,285.61,11.23,2015-04-26,2018-09-03,3.9
AG-10330,Alex Grayson,Consumer,Central,2,20,356.95,59.47,2017-08-03,2018-12-22,16.7
AG-10330,Alex Grayson,Consumer,South,1,4,12.67,1.83,2018-12-18,2018-12-18,14.4
AG-10330,Alex Grayson,Consumer,West,2,15,291.35,-11.59,2018-12-10,2018-12-22,-4.0
AG-10390,Allen Goldenen,Consumer,East,2,9,47.15,11.58,2015-09-03,2017-11-20,24.6
AG-10390,Allen Goldenen,Consumer,South,2,14,134.03,16.16,2015-04-19,2017-12-01,12.1
AG-10390,Allen Goldenen,Consumer,West,1,4,19.76,10.06,2018-09-07,2018-09-07,50.9
AG-10495,Andrew Gjertsen,Corporate,Central,2,30,915.46,40.85,2016-10-24,2016-11-11,4.5
AG-10495,Andrew Gjertsen,Corporate,East,1,14,114.38,11.61,2018-10-13,2018-10-13,10.2
AG-10495,Andrew Gjertsen,Corporate,South,1,1,192.22,-0.93,2016-01-04,2016-01-04,-0.5
AG-10495,Andrew Gjertsen,Corporate,West,3,17,197.19,25.56,2016-10-23,2017-10-20,13.0
AG-10525,Andy Gerbode,Corporate,Central,1,2,559.71,52.3,2015-09-02,2015-09-02,9.3
AG-10525,Andy Gerbode,Corporate,East,1,19,654.77,-31.43,2016-09-07,2016-09-07,-4.8
AG-10525,Andy Gerbode,Corporate,South,2,7,240.56,58.86,2015-08-09,2016-09-06,24.5
AG-10675,Anna Gayman,Consumer,Central,3,27,2894.36,-176.6,2016-05-07,2018-09-07,-6.1
AG-10675,Anna Gayman,Consumer,South,4,27,594.68,73.39,2017-01-14,2018-09-24,12.3
AG-10765,Anthony Garverick,Home Office,Central,2,15,51.59,-4.46,2016-11-09,2018-10-14,-8.6
AG-10765,Anthony Garverick,Home Office,East,1,3,5.89,-2.08,2015-09-17,2015-09-17,-35.3
AG-10765,Anthony Garverick,Home Office,South,1,7,113.1,16.67,2016-06-09,2016-06-09,14.7
AG-10900,Arthur Gainer,Consumer,Central,3,15,1372.17,-35.82,2016-09-13,2018-09-03,-2.6
AG-10900,Arthur Gainer,Consumer,East,2,13,259.94,19.51,2016-12-19,2017-05-17,7.5
AG-10900,Arthur Gainer,Consumer,South,2,12,496.51,-7.22,2018-05-01,2018-09-25,-1.5
AG-10900,Arthur Gainer,Consumer,West,3,42,2382.18,186.05,2015-07-23,2016-12-27,7.8
AH-10030,Aaron Hawkins,Corporate,East,3,10,330.13,66.24,2015-04-22,2018-12-18,20.1
AH-10030,Aaron Hawkins,Corporate,South,1,1,86.45,2.11,2017-03-20,2017-03-20,2.4
AH-10030,Aaron Hawkins,Corporate,West,3,13,1328.12,154.72,2015-05-13,2016-12-27,11.6
AH-10075,Adam Hart,Corporate,Central,1,4,217.44,25.16,2017-12-17,2017-12-17,11.6
AH-10075,Adam Hart,Corporate,East,4,50,2214.05,41.19,2016-12-21,2018-10-23,1.9
AH-10075,Adam Hart,Corporate,South,2,18,355.08,4.88,2018-05-19,2018-11-26,1.4
AH-10075,Adam Hart,Corporate,West,3,22,463.77,28.4,2015-11-16,2018-04-15,6.1
AH-10120,Adrian Hane,Home Office,Central,3,26,224.56,46.16,2017-06-30,2018-10-31,20.6
AH-10120,Adrian Hane,Home Office,South,1,11,201.09,15.49,2018-08-17,2018-08-17,7.7
AH-10120,Adrian Hane,Home Office,West,3,42,1309.86,61.54,2015-07-18,2018-04-08,4.7
AH-10195,Alan Haines,Corporate,Central,1,1,16.03,4.63,2018-11-05,2018-11-05,28.9
AH-10195,Alan Haines,Corporate,East,2,12,161.36,10.39,2016-03-05,2018-08-24,6.4
AH-10195,Alan Haines,Corporate,South,1,16,1410.07,192.71,2017-12-18,2017-12-18,13.7
AH-10210,Alan Hwang,Consumer,Central,1,6,195.96,37.47,2018-11-23,2018-11-23,19.1
AH-10210,Alan Hwang,Consumer,East,1,14,801.99,112.97,2016-12-07,2016-12-07,14.1
AH-10210,Alan Hwang,Consumer,South,3,16,1943.0,221.66,2017-02-20,2018-10-13,11.4
AH-10210,Alan Hwang,Consumer,West,4,16,1864.4,199.65,2015-11-29,2018-12-24,10.7
AH-10465,Amy Hunt,Consumer,Central,1,12,1757.85,-48.71,2016-01-03,2016-01-03,-2.8
AH-10465,Amy Hunt,Consumer,East,1,10,562.55,78.84,2018-05-14,2018-05-14,14.0
AH-10465,Amy Hunt,Consumer,South,2,10,103.9,15.61,2016-01-17,2018-04-02,15.0
AH-10465,Amy Hunt,Consumer,West,1,7,71.09,-15.94,2017-05-05,2017-05-05,-22.4
AH-10585,Angele Hood,Consumer,Central,1,1,15.98,-0.75,2018-12-09,2018-12-09,-4.7
AH-10585,Angele Hood,Consumer,South,1,3,239.24,-7.3,2018-07-06,2018-07-06,-3.1
AH-10585,Angele Hood,Consumer,West,2,11,483.28,64.54,2015-10-26,2017-09-15,13.4
AH-10690,Anna Häberlin,Corporate,Central,3,26,1135.39,154.31,2016-05-04,2016-12-31,13.6
AH-10690,Anna Häberlin,Corporate,East,1,7,70.88,14.49,2017-08-06,2017-08-06,20.4
AH-10690,Anna Häberlin,Corporate,South,5,41,5369.68,18.76,2015-04-02,2017-10-04,0.3
AH-10690,Anna Häberlin,Corporate,West,3,13,1312.34,-22.47,2017-05-19,2017-11-15,-1.7
AI-10855,Arianne Irving,Consumer,East,2,10,70.37,-6.85,2018-05-05,2018-12-11,-9.7
AI-10855,Arianne Irving,Consumer,South,1,7,504.9,6.44,2018-12-17,2018-12-17,1.3
AI-10855,Arianne Irving,Consumer,West,7,67,3800.52,492.76,2015-04-28,2018-09-09,13.0
AJ-10780,Anthony Jacobs,Corporate,East,3,48,4486.44,193.8,2015-10-31,2018-05-14,4.3
AJ-10780,Anthony Jacobs,Corporate,South,2,11,62.26,-14.48,2015-01-10,2017-11-28,-23.3
AJ-10780,Anthony Jacobs,Corporate,West,2,2,318.64,70.97,2016-05-18,2018-10-16,22.3
AJ-10795,Anthony Johnson,Corporate,East,1,3,4.99,0.65,2017-12-26,2017-12-26,13.0
AJ-10795,Anthony Johnson,Corporate,South,3,32,1725.84,51.64,2015-05-14,2017-09-12,3.0
